rank,song,artist,last-week,peak-rank,weeks-on-board,date
1,Butter,BTS,1,1,7,2021-07-17
2,Good 4 U,Olivia Rodrigo,2,1,8,2021-07-17
3,Levitating,Dua Lipa Featuring DaBaby,4,2,40,2021-07-17
4,Kiss Me More,Doja Cat Featuring SZA,3,3,13,2021-07-17
5,Montero (Call Me By Your Name),Lil Nas X,8,1,15,2021-07-17
6,Bad Habits,Ed Sheeran,5,5,2,2021-07-17
7,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),6,1,18,2021-07-17
8,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,7,1,16,2021-07-17
9,Save Your Tears,The Weeknd & Ariana Grande,9,1,30,2021-07-17
10,Deja Vu,Olivia Rodrigo,10,3,14,2021-07-17